fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,June,29,TAMIL NADU,2927,THOOTHUKKUDI,868701,270.320388931041,9,1126,0,844,0,6124,673487,219223,58908,332,157,87.40211,1907.9747878,72351,75136,150567,178391,0,172066,213588,6968,1820.5726778,596481,27,45.41,45.52,100,NA
2025-2026,July,29,TAMIL NADU,2902,TIRUVALLUR,1598383,206.083746545209,9,1127,565.6524356,3120,0,13351,892601,295072,118095,48190,8656,260.99504,2666.1530581,97210,98795,265088,311142,0,309968,376486,16471,1839.5055825,810410,46,32.81,34.82,100,NA
2025-2026,July,29,TAMIL NADU,2905,VELLORE,620335,436.242570045715,9,183,86.56304,2024,0,7581,152686,39238,37853,5528,4627,100.40305,853.0474205,15790,16306,132630,155289,0,146599,185734,9605,666.0813305,133183,68,17.38,21.28,100.01,NA
2025-2026,July,29,TAMIL NADU,2910,ERODE,613872,280.447000837116,9,1182,106.3221384,2401,0,5947,424075,110491,46006,5681,2966,128.88744,1424.5151972,43482,44262,140599,163627,0,192452,225041,8348,1189.3056188,360344,63,51.61,60.12,100,NA
2025-2026,July,29,TAMIL NADU,2914,NAGAPATTINAM,500601,362.844712875652,11,61,112.30203,3110,0,3691,145181,60555,82748,264,250,84.00998,723.0935926,12365,14658,106690,164820,0,119795,180423,6801,526.7815826,109445,72,11.81,8.12,100,NA
2025-2026,July,29,TAMIL NADU,2918,PERAMBALUR,624225,273.673696010005,10,894,93.0348271,612,0,2527,682858,198982,55150,3528,494,60.39281,2022.2303642,67285,74372,123015,175083,0,143031,197969,3139,1868.8027271,576645,56,57.13,61.59,100,NA
2025-2026,July,29,TAMIL NADU,2920,MADURAI,1871254,300.576087244683,6,2124,541.05166,3573,0,11076,663880,134475,66846,732,660,192.01707,2728.533258,96773,100140,272147,320135,0,299805,360608,14649,1995.464528,592560,59,33.19,32.11,100,NA
2025-2026,July,29,TAMIL NADU,2933,CHENGALPATTU,1018258,315.901905788646,10,1708,160.50459,3887,0,6606,788440,345667,103637,18091,4302,172.50879,2823.710366,78504,80403,195115,238906,0,219224,278462,10493,2490.696986,697842,56,19.34,46.16,100,NA
2025-2026,July,29,TAMIL NADU,2935,TIRUPATHUR,708885,327.893004614125,9,283,57.350783,3171,0,6299,257687,41800,25459,5677,5027,79.46273,981.7511598,27908,28844,129626,149426,1,141839,164175,9470,844.9376468,235754,68,14.9,33.78,100,NA
2025-2026,July,29,TAMIL NADU,2936,TENKASI,731366,290.595073007264,9,510,190.21124,1383,0,5422,283191,72170,62234,3,71,106.85039,1120.0007232,28887,30691,138819,189576,1,164602,219137,6805,822.939093200001,223610,55,20.6,30.3,100,NA
2025-2026,July,29,TAMIL NADU,2902,TIRUVALLUR,1598383,214.645668822348,9,1061,4.6553256,2998,0,13068,843662,276034,118079,46649,8654,260.92004,2076.4593081,93006,94508,265057,311101,0,309948,376466,16066,1810.8839425,765736,46,32.52,34.3,100,NA
2025-2026,July,29,TAMIL NADU,2913,THANJAVUR,1222938,267.019079732846,8,625,0,2671,0,10376,476579,143098,116829,364,119,250.34753,1522.90439,56697,60830,272079,366383,0,298242,395422,13047,1272.55686,402661,52,35.17,27,100,NA
2025-2026,July,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,1145915,280.592211442574,7,2127,0,3183,1,6621,798212,161128,82935,9689,5098,164.79035,2404.5110528,109802,113328,302357,374462,1,322326,400934,9804,2239.7207028,695983,52,35.39,50.81,100,NA
2025-2026,July,29,TAMIL NADU,2923,RAMANATHAPURAM,1801667,257.237746637921,10,2384,0.00679,2076,2,12135,663280,148809,62692,56,23,168.44507,1874.6583859,61861,65454,198212,244366,0,223220,271705,14211,1706.2065259,573493,65,29.73,34.76,100,NA
2025-2026,July,29,TAMIL NADU,2925,SIVAGANGAI,1157211,261.901972424752,9,1625,0,1670,2,10045,907553,193619,45647,39,19,225.71502,2602.61422780001,98847,101461,186282,221187,0,202303,238781,11715,2376.89920780001,828370,41,50.79,52.92,100,NA
2025-2026,July,29,TAMIL NADU,2926,TIRUNELVELI,696548,308.585889507946,11,196,0,658,0,5907,255765,61761,33808,242,139,103.89764,893.152340299999,21932,22487,96581,113757,0,120153,139513,6565,789.254700299999,227076,43,13.16,27.18,100,NA
2025-2026,June,29,TAMIL NADU,2905,VELLORE,467503,449.480253965113,9,153,0,1758,0,7660,131396,34010,37841,5315,4627,49.70634,640.3054145,14095,14565,132616,155261,0,146573,185697,9418,590.5990745,114239,68,17.42,20.55,100.01,NA
2025-2026,June,29,TAMIL NADU,2908,NAMAKKAL,614778,254.219535703479,10,1511,0.04995,1616,4,6016,697313,192324,63524,49573,20787,93.51801,1866.273831,67940,69989,181772,227013,0,220633,276732,7632,1772.705871,618464,42,42.44,64.72,100,NA
2025-2026,June,29,TAMIL NADU,2909,DHARMAPURI,921898,296.426046155606,7,812,15.5521,1137,0,9070,524530,67974,37740,18727,8416,76.18605,1646.5816899,70493,72992,242137,276793,0,277034,314027,10207,1554.8435399,484548,56,54.01,58.67,100,NA
2025-2026,June,29,TAMIL NADU,2917,KARUR,605092,358.457356215389,8,482,0,357,0,5935,211636,51718,36354,24,25,43.13854,801.7633504,25939,26735,123845,154630,0,142719,177394,6292,758.6248104,183514,69,54.07,76.68,100,NA
