fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,June,29,TAMIL NADU,2908,NAMAKKAL,614778,256.232541605476,8,1081,0.04995,1202,4,5845,418094,113700,63470,32167,20773,93.51801,1164.8608425,50853,52179,181545,226739,0,220530,276593,7047,1071.2928825,371097,43,38.06,58.42,100,NA
2025-2026,June,29,TAMIL NADU,2911,COIMBATORE,233709,477.767081831291,8,14,48.3518675,2030,2,3830,27740,8542,28806,1092,1741,66.8156,247.700056,3104,3161,74476,83244,0,109759,122710,5860,132.5325885,24614,59,31.83,22.85,100,NA
2025-2026,June,29,TAMIL NADU,2912,THE NILGIRIS,176255,352.576162661149,12,25,0,898,0,1963,37698,12775,11585,6366,3634,28.13095,161.0451118,3042,3323,30779,39275,0,55986,68491,2861,132.9141618,28539,86,15.66,12,100,NA
2025-2026,June,29,TAMIL NADU,2918,PERAMBALUR,483472,273.866635364626,8,627,3.5266271,417,0,2366,384107,115588,55099,1823,494,32.19221,1087.6597542,45455,49819,122803,174813,0,142969,197867,2783,1051.9409171,323411,54,50.33,51.66,100,NA
2025-2026,June,29,TAMIL NADU,2923,RAMANATHAPURAM,1287283,276.101600641799,9,2078,0.00679,1691,2,11652,365847,82249,62657,40,23,98.26998,1108.3861929,39877,41857,198014,244117,0,223184,271639,13343,1010.1094229,314290,66,23.49,28.88,100,NA
2025-2026,June,29,TAMIL NADU,2925,SIVAGANGAI,876902,272.690484663846,6,619,0,1449,3,9473,280318,65064,45577,12,19,138.68792,903.0884328,44903,45737,186062,220871,0,202086,238430,10922,764.4005128,254968,41,31.25,32.55,100,NA
2025-2026,June,29,TAMIL NADU,2928,KANNIYAKUMARI,167730,306.999711350911,8,98,16.0813358,296,3,2138,71263,5870,4122,111,243,40.983,275.8415401,8009,8236,38364,47673,1,77759,96011,2434,218.7772043,59346,58,47.44,44.59,100,NA
2025-2026,June,29,TAMIL NADU,2933,CHENGALPATTU,627014,335.016841074675,8,1130,0,3353,0,5735,427962,191840,103522,10294,4268,71.93118,1505.6759534,51727,52868,194893,238626,0,219004,278190,9088,1433.7447734,377977,54,17.93,34.08,100,NA
2025-2026,June,29,TAMIL NADU,2912,THE NILGIRIS,176255,351.284346577525,13,29,0,912,0,2076,44573,15140,11622,7529,3640,28.13095,184.7089218,3391,3712,30841,39362,0,55997,68507,2988,156.5779718,33773,86,15.61,11.32,100,NA
2025-2026,June,29,TAMIL NADU,2914,NAGAPATTINAM,340302,401.287270860047,9,48,0,2889,0,3297,84228,34868,82669,102,249,48.20696,386.2032025,8456,9917,106578,164568,0,119648,180124,6186,337.9962425,63744,70,9.55,4.53,100,NA
2025-2026,June,29,TAMIL NADU,2933,CHENGALPATTU,627014,322.550617800449,8,1236,0,3439,0,6185,490482,219637,103552,11282,4269,71.93118,1653.9839012,57695,58996,194947,238689,0,219061,278255,9624,1582.0527212,433096,55,18.3,36.64,100,NA
2025-2026,June,29,TAMIL NADU,2901,KANCHIPURAM,443578,294.891958494521,8,602,0.2901288,1509,0,4566,414114,158526,57178,7440,2531,65.11772,1286.5967338,46513,47458,128550,156838,0,141613,177965,6075,1221.188885,363531,59,37.61,52.22,100,NA
2025-2026,June,29,TAMIL NADU,2903,CUDDALORE,1392715,274.057329884063,8,2546,130.0949813,3059,2,12525,1177447,422631,252396,8732,3462,149.32593,3506.3007203,138348,153284,419000,676116,0,469666,737730,15584,3226.879809,945514,41,42.09,47.75,100.01,NA
2025-2026,June,29,TAMIL NADU,2914,NAGAPATTINAM,340302,387.202938468848,10,52,0,3001,0,3397,101022,42104,82681,118,249,48.20696,439.3671125,9349,11023,106608,164622,0,119670,180171,6398,391.1601525,76109,71,9.59,5.05,100,NA
2025-2026,June,29,TAMIL NADU,2915,TIRUVARUR,432827,368.301739076683,8,224,122.9812581,4782,0,5056,153685,65979,144993,6,39,94.31214,783.3179258,18519,21302,178986,271194,1,197393,293230,9838,566.0245277,116008,45,20.03,13.34,100,NA
2025-2026,June,29,TAMIL NADU,2919,PUDUKKOTTAI,946757,254.362624550622,8,662,0,2542,4,9688,798049,137951,82043,22,3,122.41406,2152.35244159999,97470,101367,293683,424198,0,332559,474525,12230,2029.93838159999,719103,46,18.32,50.14,100,NA
2025-2026,June,29,TAMIL NADU,2933,CHENGALPATTU,627014,315.449540257158,8,1394,0,3569,0,6403,581586,263666,103583,13357,4290,71.93118,1906.5415432,64696,66172,195017,238779,0,219128,278342,9972,1834.6103632,513505,56,19.01,40.37,100,NA
2025-2026,June,29,TAMIL NADU,2934,Ranipet,941355,317.201965650696,7,766,0,2171,0,5786,497652,132232,54576,8172,2292,61.28222,1639.8441461,63599,65989,158083,218918,0,182885,247982,7957,1578.5619261,449297,56,35.77,40.77,100,NA
2025-2026,June,29,TAMIL NADU,2936,TENKASI,570941,300.372302110637,10,294,0,1241,0,5212,182741,43317,62189,3,71,57.27983,606.1831786,17769,18902,138675,189381,0,164536,219039,6453,548.9033486,141853,54,18.11,24.06,100,NA
2025-2026,June,29,TAMIL NADU,2904,VILLUPURAM,1931132,250.918878267374,7,4550,3.9974,2452,0,10257,762080,229496,176400,10959,6871,171.58596,2087.7859475,105001,110382,428227,598037,0,458813,640821,12709,1912.2025875,622943,49,28.13,25.41,100,NA
2025-2026,June,29,TAMIL NADU,2905,VELLORE,467503,476.460606739723,9,127,0,1675,1,7366,109322,28734,37819,5134,4627,49.70634,570.5826045,11967,12371,132573,155204,0,146536,185648,9041,520.8762645,94790,68,14.83,18.43,100.01,NA
2025-2026,June,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,851548,287.709791695053,6,1512,0,3056,3,6013,543098,109070,82904,6815,5096,84.71954,1647.2656645,80945,83256,302208,374260,1,322153,400689,9069,1562.5461245,473455,50,33.9,46.7,100,NA
2025-2026,June,29,TAMIL NADU,2917,KARUR,605092,401.011789128505,7,379,0,342,0,5798,147597,36229,36345,18,25,43.13854,635.0199104,19739,20318,123815,154587,0,142702,177367,6140,591.8813704,128161,69,58.81,74.97,100,NA
2025-2026,June,29,TAMIL NADU,2919,PUDUKKOTTAI,946757,242.3401126285,8,635,0,2469,4,9412,749899,127810,82037,16,3,122.41406,1939.7201412,92417,96071,293642,424152,0,332557,474522,11881,1817.3060812,676117,46,17.46,50.67,100,NA
2025-2026,June,29,TAMIL NADU,2920,MADURAI,1458744,401.711308449041,6,1081,0,3494,2,10578,242134,51412,66798,640,660,114.09263,1086.7722896,38100,39044,271902,319816,0,299618,360358,14072,972.6796596,216115,59,19.22,16.46,100,NA
2025-2026,June,29,TAMIL NADU,2921,THENI,325164,338.290414967017,7,488,0,682,1,2899,191461,45008,24896,749,170,41.00493,688.6991414,24715,26067,83889,102047,0,114522,135763,3581,647.6942114,161601,43,52.64,62.64,100,NA
2025-2026,June,29,TAMIL NADU,2923,RAMANATHAPURAM,1287283,271.094148518054,9,2169,0.00679,1792,2,11848,429739,96791,62668,45,23,98.26998,1263.2740529,45091,47396,198079,244202,0,223195,271670,13640,1164.9972829,370088,66,24.29,29.17,100,NA
2025-2026,June,29,TAMIL NADU,2928,KANNIYAKUMARI,167730,305.824692562714,8,148,16.0813358,312,2,2251,90490,7590,4126,124,247,40.983,333.8051001,10132,10400,38436,47790,3,77809,96115,2563,276.7407643,75675,59,50.07,47.66,100,NA
2025-2026,June,29,TAMIL NADU,2936,TENKASI,570941,318.092078022614,10,253,0,1158,0,5140,164055,38108,62177,3,71,57.27983,579.1257886,15774,16816,138646,189339,0,164519,219012,6298,521.8459586,127064,53,17.14,22.03,100,NA
2025-2026,June,29,TAMIL NADU,2901,KANCHIPURAM,443578,305.381085223619,8,542,0.2901288,1504,0,4507,360792,138802,57122,6604,2531,65.11772,1167.1983738,42614,43460,128494,156721,0,141500,177760,6011,1101.790525,316618,59,35.74,49.76,100,NA
2025-2026,June,29,TAMIL NADU,2902,TIRUVALLUR,1212916,213.988232639438,8,817,4.6553256,2758,2,11810,663645,211863,118039,37821,8643,137.59016,1562.3676921,78336,79585,264956,310982,0,309892,376402,14568,1420.1222065,601725,44,31.12,32.1,100,NA
2025-2026,June,29,TAMIL NADU,2905,VELLORE,467503,485.495975584671,9,126,0,1700,0,7388,111815,29270,37822,5144,4627,49.70634,592.5636651,12328,12740,132574,155205,0,146542,185654,9088,542.8573251,97003,68,14.9,18.49,100.01,NA
2025-2026,June,29,TAMIL NADU,2906,TIRUVANNAMALAI,3152728,181.051938169471,7,11017,0,3287,4,10106,1869109,437651,149767,52659,27654,208.27792,3592.33599100001,249327,259495,512623,656349,0,540642,686557,13393,3384.05807100001,1550782,44,44.81,45.3,100,NA
2025-2026,June,29,TAMIL NADU,2902,TIRUVALLUR,1212916,214.514003415119,8,818,4.6553256,2771,2,12117,665277,212495,118048,37906,8644,137.59016,1569.3578121,78419,79689,264981,311012,0,309897,376410,14888,1427.1123265,603127,44,31.05,32.03,100,NA
2025-2026,June,29,TAMIL NADU,2904,VILLUPURAM,1931132,262.404334975187,7,4830,3.9974,2498,0,10436,808233,242242,176445,11349,6868,171.58596,2296.4217887,110333,116134,428330,598194,0,458883,640937,12934,2120.8384287,659435,49,28.85,26.48,100,NA
2025-2026,June,29,TAMIL NADU,2906,TIRUVANNAMALAI,3152728,174.609666812086,7,11016,0,3250,4,10043,1868165,437506,149765,52659,27653,208.27792,3470.27460200001,249273,259436,512604,656331,0,540639,686555,13293,3261.99668200001,1549990,43,44.89,45.38,100,NA
2025-2026,June,29,TAMIL NADU,2908,NAMAKKAL,614778,262.257220092739,8,1253,0.04995,1361,4,5930,510035,139396,63495,39712,20777,93.51801,1431.1715725,57812,59386,181633,226847,0,220561,276643,7291,1337.6036125,452216,42,39.53,61.3,100,NA
2025-2026,June,29,TAMIL NADU,2910,ERODE,467061,329.719562667136,8,540,0,2268,0,5495,181738,45795,45936,2040,2962,65.5007,664.7264388,21349,21720,140311,163281,0,192273,224828,7763,599.2257388,154655,62,41.22,44.7,100,NA
2025-2026,June,29,TAMIL NADU,2911,COIMBATORE,233709,447.193575450933,8,18,48.3518675,2108,2,3815,34983,11065,28825,1454,1744,66.8156,271.609196,4049,4113,74486,83274,0,109771,122748,5923,156.4417285,31145,59,32.89,24.5,100,NA
2025-2026,June,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,851548,287.709791695053,6,1513,0,3061,3,6008,543098,109070,82905,6815,5096,84.71954,1647.2656645,80945,83256,302209,374272,1,322176,400727,9069,1562.5461245,473455,50,33.43,46.07,100,NA
2025-2026,June,29,TAMIL NADU,2921,THENI,325164,355.039404309913,7,489,0,692,1,2895,191744,45054,24903,749,170,41.00493,721.7716854,24776,26130,83906,102068,0,114524,135766,3587,680.7667554,161879,43,52.56,62.54,100,NA
2025-2026,June,29,TAMIL NADU,2926,TIRUNELVELI,545310,326.68020167884,10,129,0,568,0,5793,165114,39837,33794,139,139,57.4524,596.8471482,15775,16211,96514,113677,0,120148,139508,6361,539.3947482,145678,42,9.21,19.94,100,NA
2025-2026,June,29,TAMIL NADU,2932,TIRUPPUR,630125,286.506045847941,10,303,0,2206,0,4915,418732,147432,62311,250,206,59.81218,1259.5046759,39052,40044,134178,158911,0,179058,230403,7121,1199.6924959,359708,52,38.55,66.25,100,NA
2025-2026,June,29,TAMIL NADU,2907,SALEM,873922,291.196946963458,8,711,198.6673715,2920,0,12142,435907,81183,81011,38227,30174,101.14444,1569.1596871,52467,53774,341445,422986,0,437700,530873,15062,1269.3478756,390234,56,19.14,28.41,100,NA
2025-2026,June,29,TAMIL NADU,2908,NAMAKKAL,614778,259.298403049229,9,1338,0.04995,1448,4,6006,549516,151651,63500,40248,20778,93.51801,1518.4541725,60133,61811,181666,226884,0,220570,276648,7454,1424.8862125,486632,42,41.02,62.59,100,NA
2025-2026,June,29,TAMIL NADU,2911,COIMBATORE,233709,442.498242264834,8,18,48.3518675,2111,2,3870,35358,11165,28833,1454,1744,66.8156,271.625996,4094,4158,74504,83293,0,109776,122755,5981,156.4585285,31431,59,32.67,24.36,100,NA
2025-2026,June,29,TAMIL NADU,2912,THE NILGIRIS,176255,343.674123180764,13,29,0,922,0,2147,47410,15911,11628,8512,3656,28.13095,191.0668518,3477,3813,30872,39400,0,56074,68599,3069,162.9359018,35990,85,16.08,11.13,100,NA
2025-2026,June,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,851548,277.607281147573,6,1571,0,3089,3,6351,572966,115531,82913,6909,5096,84.71954,1675.3148745,84486,86990,302244,374323,1,322208,400779,9440,1590.5953345,499051,51,34.26,46.99,100,NA
2025-2026,June,29,TAMIL NADU,2917,KARUR,605092,385.089430015754,7,402,0,351,0,5840,158057,39137,36350,18,25,43.13854,651.7993404,20781,21416,123823,154599,0,142712,177382,6191,608.6608004,137016,69,57.49,74.97,100,NA
2025-2026,June,29,TAMIL NADU,2919,PUDUKKOTTAI,946757,259.74936337615,8,648,0,2534,4,9671,774539,132425,82043,16,3,122.41406,2134.27418159999,95450,99266,293683,424198,0,332559,474525,12205,2011.86012159999,697892,46,17.97,49.93,100,NA
2025-2026,June,29,TAMIL NADU,2920,MADURAI,1458744,401.843234594786,6,1152,0,3507,2,10689,259912,55570,66801,655,660,114.09263,1158.5314179,41351,42405,271948,319875,0,299665,360421,14196,1044.4387879,231697,59,19.68,16.78,100,NA
2025-2026,June,29,TAMIL NADU,2923,RAMANATHAPURAM,1287283,265.502407796705,9,2185,0.00679,1848,2,12022,447625,101921,62671,45,23,98.26998,1286.7319229,45970,48369,198110,244239,0,223199,271675,13870,1188.4551529,385132,65,24.73,29.45,100,NA
2025-2026,June,29,TAMIL NADU,2924,VIRUDHUNAGAR,1251670,285.761250685956,9,1439,0,785,0,4351,543038,171748,75820,48,118,79.45075,1631.2429305,58038,60503,216050,265138,0,247502,299418,5136,1551.7921805,460969,41,17.18,49.86,100,NA
2025-2026,June,29,TAMIL NADU,2927,THOOTHUKKUDI,868701,276.102217525867,8,1020,0,816,1,5924,516003,167694,58804,247,156,87.40211,1512.0978355,63444,65683,150394,178078,0,171758,213081,6740,1424.6957255,456903,26,42.19,42,100,NA
2025-2026,June,29,TAMIL NADU,2933,CHENGALPATTU,627014,332.542859088916,8,1314,0,3557,0,6295,531477,236487,103577,12361,4290,71.93118,1839.3199912,61386,62784,194999,238760,0,219116,278331,9852,1767.3888112,468960,55,18.59,38.02,100,NA
2025-2026,June,29,TAMIL NADU,2923,RAMANATHAPURAM,1287283,272.912973583457,9,2177,0.00679,1832,2,11894,432532,97466,62668,45,23,98.26998,1278.7127129,45350,47669,198085,244211,0,223196,271671,13726,1180.4359429,372374,65,24.14,28.94,100,NA
2025-2026,June,29,TAMIL NADU,2924,VIRUDHUNAGAR,1251670,290.316169053241,9,1432,0,777,0,4323,534518,167907,75809,48,118,79.45075,1631.2429305,57621,60066,216046,265124,0,247493,299401,5100,1551.7921805,453746,40,17.24,49.78,100,NA
2025-2026,June,29,TAMIL NADU,2928,KANNIYAKUMARI,167730,305.486692645927,8,148,16.0813358,319,2,2314,90970,7602,4126,124,253,40.983,334.9655801,10153,10422,38499,47903,3,77855,96223,2633,277.9012443,76018,60,49.96,47.56,100,NA
2025-2026,June,29,TAMIL NADU,2904,VILLUPURAM,1931132,258.419680885819,7,5746,3.9974,2666,0,10800,1111107,327152,176482,15700,6873,171.58596,3046.9025237,144480,151811,428470,598397,0,458949,641045,13466,2871.3191637,910899,50,33.86,33.1,100,NA
2025-2026,June,29,TAMIL NADU,2914,NAGAPATTINAM,340302,379.317721748675,11,59,0,3034,0,3428,112977,47366,82704,146,249,48.20696,476.7487425,10118,11896,106620,164668,0,119704,180251,6462,428.5417825,85305,71,9.92,5.72,100,NA
2025-2026,June,29,TAMIL NADU,2915,TIRUVARUR,432827,364.876143621942,8,238,122.9812581,4802,0,5099,167551,72829,145004,6,39,94.31214,828.6470255,20220,23178,179015,271238,1,197452,293318,9901,611.3536274,127397,45,20.44,14.25,100,NA
2025-2026,June,29,TAMIL NADU,2918,PERAMBALUR,483472,273.844075767391,9,802,3.5266271,527,0,2427,557311,166800,55134,2865,494,32.19221,1561.8819942,59745,65880,122951,175004,0,143005,197926,2954,1526.1631571,469963,55,54.48,57.82,100,NA
2025-2026,June,29,TAMIL NADU,2920,MADURAI,1458744,347.717821641123,6,1599,0,3520,0,10750,411328,85625,66817,679,660,114.09263,1544.3533914,64266,66167,272015,319982,0,299761,360554,14270,1430.2607614,367101,59,25.67,23.5,100,NA
2025-2026,June,29,TAMIL NADU,2922,DINDIGUL,1192465,393.928526937325,8,704,0,3303,3,14304,343631,81170,82805,603,359,185.73584,1539.3963764,38716,40321,281518,340913,0,314329,376058,17607,1353.6605364,294461,78,40.77,44.41,100,NA
2025-2026,June,29,TAMIL NADU,2925,SIVAGANGAI,876902,264.761914328916,7,1377,0,1615,2,9847,654083,141881,45616,27,19,138.68792,1870.4505921,85887,87881,186185,221043,0,202195,238586,11462,1731.7626721,596344,41,44.61,46.81,100,NA
2025-2026,June,29,TAMIL NADU,2932,TIRUPPUR,630125,283.677383469856,11,336,0,2335,0,4964,493692,174277,62339,272,206,59.81218,1460.304728,42428,43525,134235,159000,0,179092,230460,7299,1400.492548,423961,52,37.61,67.12,100,NA
2025-2026,June,29,TAMIL NADU,2937,KALLAKURICHI,841956,295.698639025982,10,966,9.79389,4027,0,10566,974192,296878,161728,42048,20645,86.42036,2976.8867355,88913,105984,295800,511899,7,315871,536401,14593,2880.6724855,714378,47,34,31.02,100,NA
2025-2026,June,29,TAMIL NADU,2902,TIRUVALLUR,1212916,208.049014577772,8,961,4.6553256,2925,0,12933,773232,249229,118076,43843,8647,137.59016,1750.947042,86948,88350,265033,311083,0,309938,376458,15858,1608.7015564,701333,45,31.73,33.08,100,NA
2025-2026,June,29,TAMIL NADU,2911,COIMBATORE,233709,380.307632591234,8,20,48.3518675,2144,2,3913,50173,15862,28840,2038,1748,66.8156,305.979216,5646,5719,74530,83326,0,109784,122771,6057,190.8117485,44663,59,31.88,25.2,100,NA
2025-2026,June,29,TAMIL NADU,2912,THE NILGIRIS,176255,323.666256319433,14,57,0,985,0,2248,62110,20692,11653,9862,3668,28.13095,229.1600618,4347,4733,30950,39501,0,56158,68685,3233,201.0291118,47288,85,16.96,12.49,100,NA
2025-2026,June,29,TAMIL NADU,2915,TIRUVARUR,432827,354.05911927567,8,265,122.9812581,4823,0,5357,185109,80792,145025,6,39,94.31214,872.6886932,21871,25057,179044,271294,1,197497,293398,10180,655.3952951,140891,46,20.66,14.8,100,NA
2025-2026,June,29,TAMIL NADU,2921,THENI,325164,328.719628215803,9,592,0,708,1,3416,277419,63775,25097,830,175,41.00493,952.9356354,30390,32183,84381,102752,0,115486,137147,4124,911.9307054,235820,50,53.97,64.18,100,NA
2025-2026,June,29,TAMIL NADU,2922,DINDIGUL,1192465,356.086035432054,9,780,0,3356,3,14714,387220,91926,82852,621,359,185.73584,1564.5721864,42233,44000,281598,341038,0,314441,376238,18070,1378.8363464,331748,78,40.21,44.65,100,NA
2025-2026,June,29,TAMIL NADU,2925,SIVAGANGAI,876902,256.754294254546,8,1478,0,1621,2,10072,759261,168066,45622,36,19,138.68792,2088.12314210001,90642,92858,186208,221062,0,202225,238611,11693,1949.43522210001,693724,41,47.51,49.74,100,NA
2025-2026,June,29,TAMIL NADU,2926,TIRUNELVELI,545310,283.534586290973,11,188,0,623,0,5932,240338,58482,33805,234,139,57.4524,738.893754,21061,21600,96565,113739,0,120152,139512,6555,681.441354,213301,43,12.63,26.18,100,NA
2025-2026,June,29,TAMIL NADU,2927,THOOTHUKKUDI,868701,272.673930242246,9,1109,0,843,0,6121,645749,210151,58907,318,157,87.40211,1848.1912878,70853,73520,150562,178387,0,172063,213585,6964,1760.7891778,572008,27,44.55,44.65,100,NA
2025-2026,June,29,TAMIL NADU,2930,KRISHNAGIRI,1214984,256.969365060898,9,622,22.7970376,1700,0,9558,515703,70347,38718,3522,2784,142.23463,1490.2303923,54490,55755,254789,285718,0,295765,333518,11258,1325.1987247,469366,69,21.51,30.18,100,NA
2025-2026,June,29,TAMIL NADU,2933,CHENGALPATTU,627014,303.855217942332,9,1614,0,3710,0,6546,722760,319181,103612,16430,4298,71.93118,2268.0751532,74469,76218,195075,238853,0,219197,278429,10256,2196.1439732,639737,56,19.52,45.06,100,NA
2025-2026,June,29,TAMIL NADU,2938,MAYILADUTHURAI,378653,270.025456731695,7,275,0,766,0,5481,311452,135998,106507,285,275,45.44548,886.445165499999,40163,47527,153162,233485,0,161950,243392,6247,840.999685499999,246129,46,43.42,41.47,100,NA
2025-2026,June,29,TAMIL NADU,2901,KANCHIPURAM,443578,302.982201405701,9,617,0.2901288,1535,0,4554,426691,163521,57180,7659,2531,65.11772,1358.2056338,47200,48164,128561,156848,0,141619,177973,6089,1292.797785,374564,59,37.93,52.43,100,NA
2025-2026,June,29,TAMIL NADU,2902,TIRUVALLUR,1212916,212.484437411034,8,927,4.6553256,2856,0,12441,735537,235253,118057,42337,8647,137.59016,1705.147142,83251,84611,265011,311048,0,309914,376432,15297,1562.9016564,666936,45,31.52,32.71,100,NA
2025-2026,June,29,TAMIL NADU,2904,VILLUPURAM,1931132,250.693671280261,7,5736,3.9974,2603,0,10742,1104345,324228,176464,15613,6873,171.58596,2944.1063841,143769,151034,428436,598343,0,458938,641019,13345,2768.5230241,905707,50,33.85,33.04,100,NA
2025-2026,June,29,TAMIL NADU,2912,THE NILGIRIS,176255,356.430130824211,13,40,0,934,0,2199,55265,18529,11648,9329,3666,28.13095,225.1120618,3951,4316,30917,39456,0,56098,68624,3133,196.9811118,41874,86,16.72,12.09,100,NA
2025-2026,June,29,TAMIL NADU,2938,MAYILADUTHURAI,378653,271.356234754463,7,271,0,750,0,5394,298448,130043,106506,167,275,45.44548,855.302735499999,38851,45878,153154,233474,0,161928,243367,6144,809.857255499999,236158,46,43.01,40.99,100,NA
2025-2026,June,29,TAMIL NADU,2903,CUDDALORE,1392715,264.495432323632,8,2716,130.0949813,3155,2,12495,1306128,468072,252418,9569,3462,149.32593,3734.0698116,148784,165363,419037,676203,1,469708,737828,15650,3454.6489003,1048689,41,43.87,50.05,100.01,NA
2025-2026,June,29,TAMIL NADU,2910,ERODE,467061,312.518412833684,8,856,0,2312,0,5731,253458,64967,45963,2953,2964,65.5007,857.6036188,30742,31239,140440,163428,0,192359,224914,8043,792.1029188,216108,62,46.83,51.47,100,NA
2025-2026,June,29,TAMIL NADU,2915,TIRUVARUR,432827,361.666465788547,8,234,122.9812581,4784,0,5074,164594,71264,145005,6,39,94.31214,812.5747008,19878,22807,179005,271229,1,197417,293273,9858,595.2813027,125004,45,20.53,14.21,100,NA
2025-2026,June,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,851548,283.49496776211,6,1808,0,3113,3,6350,661954,132332,82919,8440,5096,84.71954,1961.3258189,94932,97831,302274,374360,1,322257,400845,9463,1876.6062789,577137,51,34.94,49.23,100,NA
2025-2026,June,29,TAMIL NADU,2917,KARUR,605092,364.936547753502,7,462,0,352,0,5855,190363,46500,36350,24,25,43.13854,737.8427004,24122,24843,123831,154608,0,142718,177389,6207,694.7041604,165413,69,54.32,75.43,100,NA
2025-2026,June,29,TAMIL NADU,2932,TIRUPPUR,630125,283.87748670299,11,336,0,2302,0,4961,493344,174192,62336,272,206,59.81218,1460.304728,42422,43519,134233,158994,0,179092,230456,7263,1400.492548,423702,52,37.64,67.2,100,NA
2025-2026,June,29,TAMIL NADU,2909,DHARMAPURI,921898,300.894401943297,6,681,15.5521,1114,2,8961,426080,55943,37724,15115,8409,76.18605,1373.7890178,61170,63239,242069,276711,0,276993,313975,10075,1282.0508678,393637,56,50.26,54.99,100,NA
2025-2026,June,29,TAMIL NADU,2920,MADURAI,1458744,355.203732169238,6,1345,0,3508,1,10718,322196,68076,66806,655,660,114.09263,1258.5448469,50669,52060,271962,319894,0,299696,360460,14226,1144.4522169,287812,59,22.24,19.76,100,NA
2025-2026,June,29,TAMIL NADU,2921,THENI,325164,331.91951391179,8,522,0,695,1,3124,212266,48897,25044,755,174,41.00493,745.5572054,26166,27602,84240,102572,0,115449,137090,3819,704.5522754,179611,46,52.58,63.1,100,NA
2025-2026,June,29,TAMIL NADU,2928,KANNIYAKUMARI,167730,295.428746772573,9,172,16.0813358,327,1,2414,106509,8815,4128,130,253,40.983,371.7225397,11493,11828,38610,48071,3,77855,96235,2741,314.6582039,89027,61,52.05,49.88,100,NA
2025-2026,June,29,TAMIL NADU,2902,TIRUVALLUR,1212916,214.78070291779,8,929,4.6553256,2872,0,12853,738607,236537,118062,42542,8647,137.59016,1728.630792,83432,84797,265021,311064,0,309932,376452,15725,1586.3853064,669714,45,31.12,32.31,100,NA
2025-2026,June,29,TAMIL NADU,2904,VILLUPURAM,1931132,255.917207878837,7,5786,3.9974,2705,0,10937,1122856,329979,176486,15856,6873,171.58596,3049.1650837,145732,153167,428477,598435,0,458983,641113,13642,2873.5817237,920434,50,33.83,33.13,100,NA
2025-2026,June,29,TAMIL NADU,2914,NAGAPATTINAM,340302,375.252215392159,11,59,0,3039,0,3509,114201,47934,82710,146,249,48.20696,476.7487425,10125,11906,106631,164686,0,119708,180264,6548,428.5417825,86059,71,9.89,5.71,100,NA
2025-2026,June,29,TAMIL NADU,2915,TIRUVARUR,432827,362.257876408925,8,242,122.9812581,4817,0,5289,172472,75131,145006,6,39,94.31214,842.0868027,20664,23681,179029,271256,1,197460,293329,10106,624.7934046,131169,46,20.6,14.37,100,NA
2025-2026,June,29,TAMIL NADU,2919,PUDUKKOTTAI,946757,255.793923318411,8,730,0,2630,4,9877,947007,162976,82061,22,3,122.41406,2544.80041939999,108309,112781,293762,424291,0,332591,474560,12507,2422.38635939999,853596,47,18.76,50.92,100,NA
2025-2026,June,29,TAMIL NADU,2921,THENI,325164,338.1013478676,8,580,0,707,1,3412,263928,61857,25097,830,175,41.00493,933.3490554,29700,31463,84382,102754,0,115486,137146,4119,892.3441254,224136,50,53.73,64.21,100,NA
2025-2026,June,29,TAMIL NADU,2922,DINDIGUL,1192465,384.35373478858,9,713,0,3303,3,14681,353846,83529,82822,603,359,185.73584,1545.7561564,39306,40947,281564,340966,0,314345,376077,17984,1360.0203164,302843,78,40.15,43.95,100,NA
2025-2026,June,29,TAMIL NADU,2924,VIRUDHUNAGAR,1251670,282.364382702982,10,1674,0,1032,0,4253,703867,220003,75851,59,118,79.45075,2066.9204596,67887,70883,216136,265276,0,247589,299558,5285,1987.4697096,597571,42,19.64,55.03,100,NA
2025-2026,June,29,TAMIL NADU,2927,THOOTHUKKUDI,868701,272.311155557779,8,1092,0,843,0,6111,619519,201639,58902,295,156,87.40211,1774.4214578,69553,72143,150548,178360,0,172052,213564,6954,1687.0193478,548794,27,43.73,43.95,100,NA
2025-2026,June,29,TAMIL NADU,2933,CHENGALPATTU,627014,322.020935335119,9,1524,0,3692,0,6516,657946,290230,103603,15204,4298,71.93118,2190.6550432,70740,72389,195056,238830,0,219193,278424,10208,2118.7238632,581501,56,18.99,42.89,100,NA
